Source 	Target 
0	1
0	2
0	11
1	3
1	5
2	10
2	34
3	4
3	32
4	7
4	37
5	6
5	12
6	7
6	53
7	58
8	9
8	10
8	19
9	11
9	13
10	18
11	12
12	15
13	14
13	20
14	15
14	49
15	54
16	17
16	18
16	27
17	19
17	21
18	26
19	20
20	23
21	22
21	28
22	23
22	45
23	50
24	25
24	26
24	35
25	27
25	29
26	34
27	28
28	31
29	30
29	36
30	31
30	41
31	46
32	33
32	34
33	35
33	37
35	36
36	39
37	38
38	39
38	57
39	42
40	41
40	43
40	46
41	42
42	56
43	47
43	59
44	45
44	47
44	50
45	46
47	51
48	49
48	51
48	54
49	50
51	55
52	53
52	55
52	58
53	54
55	59
56	57
56	59
57	58